Title,Channel,Category,Duration (s),Views,Likes,Comments,Published At,URL,Type
Pedestrian dies after being hit by driver in North Portland,"KPTV FOX 12 | Local news, weather Portland, Oregon",News & Politics,18.0,40851,68,10,2025-04-22T12:35:40Z,https://youtu.be/vOU1hmjoHX0,Short
Zombies 4: Dawn of the Vampires | Teaser Trailer | Disney+,Disney Plus,People & Blogs,36.0,2732173,14141,1156,2025-04-22T15:00:02Z,https://youtu.be/cW8xz2edXSE,Short
Watch the Destiny 2: The Edge of Fate Reveal on May 6 at 9 AM PT.,Destiny 2,Gaming,16.0,257596,8425,1028,2025-04-22T15:01:12Z,https://youtu.be/k4utXKvOpYM,Short
Delta plane suffers engine fire in Florida forcing evacuation,NBC 6 South Florida,News & Politics,30.0,96735,176,49,2025-04-21T17:19:25Z,https://youtu.be/_hjqc5i9tg4,Short
Weapons | Teaser,Warner Bros.,Film & Animation,45.0,1155218,32209,2914,2025-04-21T16:00:34Z,https://youtu.be/I3qtHlROEuc,Short
"Effective Immediately | General Hospital Promo (April 21st, 2025)",General Hospital,Entertainment,16.0,100133,635,199,2025-04-21T11:00:04Z,https://youtu.be/1fFtABe6Mtw,Short
Monster Hunter Wilds – Festival of Accord: Blossomdance | Spring Seasonal Event,Monster Hunter,Gaming,57.0,247757,10010,732,2025-04-22T01:00:25Z,https://youtu.be/-F33ACcPbhU,Short
The Last of Us Season 2 | Episode 3 Preview | Max,Max,Entertainment,54.0,1280117,22533,2388,2025-04-21T02:15:30Z,https://youtu.be/S63tPF006fI,Short
Fortnite Galactic Battle Teaser Trailer,Fortnite,People & Blogs,35.0,1656452,60439,5739,2025-04-20T02:27:10Z,https://youtu.be/RKZPMyAvEXs,Short
"1 dead, 1 hospitalized after three-vehicle crash in Aloha","KPTV FOX 12 | Local news, weather Portland, Oregon",News & Politics,25.0,107504,139,23,2025-04-16T19:47:51Z,https://youtu.be/Y6IA60uI6hQ,Short
Predator: Badlands | Teaser Trailer,20th Century Studios,Film & Animation,72.0,6404153,83984,11955,2025-04-23T16:01:20Z,https://youtu.be/oFkbsEKaoSE,Regular
The Summer I Turned Pretty Season 3 - Official Teaser | Prime Video,Prime Video,Entertainment,66.0,364304,23616,1727,2025-04-24T15:01:40Z,https://youtu.be/yr7NbcCPYjk,Regular
Chuckyy - My World (Official Music Video),Chuckyy ,People & Blogs,184.0,498320,52307,4107,2025-04-23T21:00:07Z,https://youtu.be/4BQZ-YgVGsk,Regular
Wednesday: Season 2 | Official Teaser Trailer | Netflix,Netflix,Entertainment,139.0,5104051,238779,11480,2025-04-23T13:00:00Z,https://youtu.be/uQx8jKiIDTI,Regular
'ALARMING' 🚨 Stephen A. is APPALLED by Shedeur Sanders' draft stock falling to No. 29 😬 | First Take,NFL on ESPN,Sports,1076.0,166143,2744,1739,2025-04-24T15:36:24Z,https://youtu.be/bZwg2U7FsGQ,Regular
Lorde - What Was That,Lorde,Music,209.0,727231,92176,7881,2025-04-24T04:00:05Z,https://youtu.be/1UpoZpMBM9Y,Regular
Madden 26 & College Football 26 Announce Trailer | The Call,EA SPORTS MADDEN NFL,Gaming,148.0,105242,7654,865,2025-04-24T14:55:12Z,https://youtu.be/EIp9SMjNH1w,Regular
Elder Scrolls Oblivion Remastered - Before You Buy,gameranx,Gaming,1012.0,1424660,51111,8608,2025-04-23T19:50:09Z,https://youtu.be/r3nG5qSRw64,Regular
Gruden’s QB Class | Jaxson Dart,Barstool Sports,Comedy,3575.0,185090,5512,832,2025-04-23T23:00:08Z,https://youtu.be/wBWjKgRB6Z0,Regular
